 3.40000000    0.00000000  1043.14948296
 3.40000000    5.00000000  1040.54774477
 3.40000000   10.00000000  1032.86289724
 3.40000000   15.00000000  1020.45162934
 3.40000000   20.00000000  1003.85782562
 3.40000000   25.00000000  983.77759765
 3.40000000   30.00000000  961.01802703
 3.40000000   35.00000000  936.44689096
 3.40000000   40.00000000  910.94562511
 3.40000000   45.00000000  885.37918385
 3.40000000   50.00000000  860.53860322
 3.40000000   55.00000000  837.13314219
 3.40000000   60.00000000  815.77305622
 3.40000000   65.00000000  796.97002930
 3.40000000   70.00000000  781.10534693
 3.40000000   75.00000000  768.48884375
 3.40000000   80.00000000  759.33664178
 3.40000000   85.00000000  753.79183913
 3.40000000   90.00000000  751.93536999
 3.60000000    0.00000000  746.01863082
 3.60000000    5.00000000  744.37780991
 3.60000000   10.00000000  739.54105654
 3.60000000   15.00000000  731.73783996
 3.60000000   20.00000000  721.31418516
 3.60000000   25.00000000  708.71811693
 3.60000000   30.00000000  694.43774380
 3.60000000   35.00000000  679.01748082
 3.60000000   40.00000000  663.02085368
 3.60000000   45.00000000  646.97903466
 3.60000000   50.00000000  631.38929955
 3.60000000   55.00000000  616.68706434
 3.60000000   60.00000000  603.27977583
 3.60000000   65.00000000  591.42271617
 3.60000000   70.00000000  581.46667337
 3.60000000   75.00000000  573.62042282
 3.60000000   80.00000000  567.87985039
 3.60000000   85.00000000  564.40238301
 3.60000000   90.00000000  563.23853808
 3.80000000    0.00000000  531.47188355
 3.80000000    5.00000000  530.45692887
 3.80000000   10.00000000  527.40782928
 3.80000000   15.00000000  522.59191421
 3.80000000   20.00000000  516.09845566
 3.80000000   25.00000000  508.41133558
 3.80000000   30.00000000  499.62010687
 3.80000000   35.00000000  490.07366403
 3.80000000   40.00000000  480.36135775
 3.80000000   45.00000000  470.48094050
 3.80000000   50.00000000  460.87149967
 3.80000000   55.00000000  451.80034908
 3.80000000   60.00000000  443.52710585
 3.80000000   65.00000000  436.24008228
 3.80000000   70.00000000  430.09542605
 3.80000000   75.00000000  425.21024600
 3.80000000   80.00000000  421.66762955
 3.80000000   85.00000000  419.52216618
 3.80000000   90.00000000  418.80461721
 4.00000000    0.00000000  373.54590532
 4.00000000    5.00000000  372.93721807
 4.00000000   10.00000000  371.14985724
 4.00000000   15.00000000  368.27754568
 4.00000000   20.00000000  364.45597126
 4.00000000   25.00000000  359.84252451
 4.00000000   30.00000000  354.62700549
 4.00000000   35.00000000  348.99820712
 4.00000000   40.00000000  343.14807584
 4.00000000   45.00000000  337.26919464
 4.00000000   50.00000000  331.54341002
 4.00000000   55.00000000  326.13692218
 4.00000000   60.00000000  321.19512627
 4.00000000   65.00000000  316.83900403
 4.00000000   70.00000000  313.16410467
 4.00000000   75.00000000  310.24192452
 4.00000000   80.00000000  308.12289303
 4.00000000   85.00000000  306.83984331
 4.00000000   90.00000000  306.41110723
 4.20000000    0.00000000  256.93153481
 4.20000000    5.00000000  256.58563309
 4.20000000   10.00000000  255.57188462
 4.20000000   15.00000000  253.95144246
 4.20000000   20.00000000  251.80505305
 4.20000000   25.00000000  249.22528889
 4.20000000   30.00000000  246.31303634
 4.20000000   35.00000000  243.17078619
 4.20000000   40.00000000  239.90479142
 4.20000000   45.00000000  236.61877380
 4.20000000   50.00000000  233.41232379
 4.20000000   55.00000000  230.40020831
 4.20000000   60.00000000  227.62497415
 4.20000000   65.00000000  225.17417707
 4.20000000   70.00000000  223.10380643
 4.20000000   75.00000000  221.45604726
 4.20000000   80.00000000  220.26061815
 4.20000000   85.00000000  219.53676287
 4.20000000   90.00000000  219.29515713
 4.40000000    0.00000000  171.48140032
 4.40000000    5.00000000  171.30257685
 4.40000000   10.00000000  170.78184287
 4.40000000   15.00000000  169.95729943
 4.40000000   20.00000000  168.87559197
 4.40000000   25.00000000  167.58636140
 4.40000000   30.00000000  166.14061317
 4.40000000   35.00000000  164.58770859
 4.40000000   40.00000000  162.97715078
 4.40000000   45.00000000  161.35705176
 4.40000000   50.00000000  159.77334049
 4.40000000   55.00000000  158.26974925
 4.40000000   60.00000000  156.88671297
 4.40000000   65.00000000  155.66024841
 4.40000000   70.00000000  154.62047257
 4.40000000   75.00000000  153.79074872
 4.40000000   80.00000000  153.18780238
 4.40000000   85.00000000  152.82249274
 4.40000000   90.00000000  152.70081903
 4.60000000    0.00000000  109.74470348
 4.60000000    5.00000000  109.66972840
 4.60000000   10.00000000  109.45452794
 4.60000000   15.00000000  109.12217690
 4.60000000   20.00000000  108.69848706
 4.60000000   25.00000000  108.20753807
 4.60000000   30.00000000  107.67125090
 4.60000000   35.00000000  107.10603653
 4.60000000   40.00000000  106.52854694
 4.60000000   45.00000000  105.95178157
 4.60000000   50.00000000  105.38776306
 4.60000000   55.00000000  104.84870557
 4.60000000   60.00000000  104.34756288
 4.60000000   65.00000000  103.89774907
 4.60000000   70.00000000  103.51214311
 4.60000000   75.00000000  103.20170022
 4.60000000   80.00000000  102.97478274
 4.60000000   85.00000000  102.83696805
 4.60000000   90.00000000  102.79133679
 4.80000000    0.00000000   65.96399355
 4.80000000    5.00000000   65.95258366  
 4.80000000   10.00000000   65.92305738  
 4.80000000   15.00000000   65.88879880  
 4.80000000   20.00000000   65.86203933  
 4.80000000   25.00000000   65.85213028  
 4.80000000   30.00000000   65.86227908  
 4.80000000   35.00000000   65.89242759  
 4.80000000   40.00000000   65.93852220  
 4.80000000   45.00000000   65.99363762  
 4.80000000   50.00000000   66.04983569  
 4.80000000   55.00000000   66.10012636  
 4.80000000   60.00000000   66.14008699  
