8.6 -2.50417 -2.50001 -2.48838 -2.468 -2.44367 -2.4125 -2.37674 -2.33769 -2.29667 -2.25497 -2.21388 -2.17458 -2.13819 -2.10568 -2.07791 -2.05557 -2.03907 -2.02904 -2.0257 
8.8 -2.16805 -2.16599 -2.15624 -2.14028 -2.11877 -2.09251 -2.06242 -2.02955 -1.99497 -1.9598 -1.92509 -1.89187 -1.85969 -1.83346 -1.81001 -1.79107 -1.77706 -1.76855 -1.76572 
9 -1.88021 -1.87868 -1.87047 -1.85701 -1.83887 -1.8167 -1.79128 -1.76348 -1.73421 -1.7044 -1.67496 -1.64675 -1.62058 -1.59716 -1.57712 -1.56098 -1.54905 -1.54179 -1.53937 
9.2 -1.63438 -1.63194 -1.6249 -1.61349 -1.59811 -1.57931 -1.55773 -1.5341 -1.50921 -1.48383 -1.45874 -1.43467 -1.41233 -1.39231 -1.37517 -1.36126 -1.34984 -1.34489 -1.34287 
9.4 -1.42053 -1.41979 -1.4139 -1.4042 -1.3911 -1.37507 -1.35666 -1.33649 -1.31522 -1.2935 -1.27202 -1.25139 -1.23222 -1.21503 -1.20023 -1.18842 -1.17966 -1.17433 -1.17255 
9.6 -1.23946 -1.23769 -1.23256 -1.22425 -1.21303 -1.1993 -1.18352 -1.16621 -1.14794 -1.12927 -1.11079 -1.09302 -1.0765 -1.06164 -1.04896 -1.03867 -1.03113 -1.02654 -1.025 
9.8 -1.08244 -1.08092 -1.07651 -1.06938 -1.05971 -1.04791 -1.03429 -1.01939 -1.0036 -0.987488 -0.971494 -0.956127 -0.941819 -0.928969 -0.91796 -0.909056 -0.902523 -0.898536 -0.897199 
10 -0.947149 -0.945836 -0.94204 -0.935873 -0.927541 -0.917326 -0.905566 -0.892645 -0.878976 -0.864988 -0.851107 -0.837748 -0.825299 -0.814118 -0.804518 -0.796765 -0.791072 -0.787592 -0.786418 
10.2 -0.83035 -0.829211 -0.825923 -0.820573 -0.81334 -0.804465 -0.794241 -0.783 -0.771102 -0.758916 -0.746816 -0.735161 -0.724294 -0.714527 -0.706135 -0.699353 -0.694368 -0.691317 -0.690282 
10.4 -0.729299 -0.728309 -0.725444 -0.720782 -0.714474 -0.70673 -0.697804 -0.687985 -0.677583 -0.666924 -0.656332 -0.646124 -0.6366 -0.628034 -0.620671 -0.614716 -0.610335 -0.607651 -0.606735 
10.6 -0.641672 -0.640806 -0.6383 -0.634219 -0.628695 -0.62191 -0.614085 -0.605472 -0.596343 -0.586982 -0.577675 -0.5687 -0.560322 -0.552783 -0.546298 -0.541051 -0.537189 -0.534819 -0.534008 
10.8 -0.565505 -0.564745 -0.562542 -0.558955 -0.554098 -0.548129 -0.541242 -0.533657 -0.525615 -0.517364 -0.509156 -0.501237 -0.493841 -0.487183 -0.481454 -0.476817 -0.473401 -0.471303 -0.47058 
11 -0.499137 -0.498467 -0.496512 -0.493351 -0.489017 -0.483767 -0.477619 -0.470954 -0.463866 -0.456581 -0.449327 -0.442322 -0.435775 -0.429878 -0.424801 -0.42069 -0.41766 -0.415798 -0.415154 
11.2 -0.441162 -0.440576 -0.43884 -0.436015 -0.432192 -0.427498 -0.422134 -0.416127 -0.409862 -0.403317 -0.396922 -0.390729 -0.38493 -0.3797 -0.375194 -0.371542 -0.368849 -0.367193 -0.366619 
